id,date,day,trading,data available,price,spread-low,spread-high,event
OT010,1912-05-11T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-12T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-05-13T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-14T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-15T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-16T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-17T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-18T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-19T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-05-20T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-21T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-22T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-23T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-24T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-25T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-26T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-05-27T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-28T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-29T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-30T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-05-31T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-01T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-02T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-06-03T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-04T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-05T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-06T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-07T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-08T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-09T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-06-10T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-11T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-12T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-13T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-14T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-15T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-16T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-06-17T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-18T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-19T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-20T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-21T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-22T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-23T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
